experiment,trial,top1,top5,batch_size,augmentation_level,freeze_backbone,fine_tune_from_layer,fc_hidden_size,dropout_rate,lr_multiplier_backbone,optimizer,lr,weight_decay,scheduler,step_size,gamma,factor,patience,momentum,warmup_epochs,eta_min,pct_start,div_factor
convnext_base,7,0.8659405708312988,,64,aggressive,False,none,297,0.0927133821956726,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
convnext_base,8,0.7383498549461365,,128,moderate,False,none,156,0.3954104278101811,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
convnext_base,9,0.6667986512184143,,32,randaugment,False,features.6,137,0.08776199944765656,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
convnext_base,10,0.868976891040802,,32,randaugment,False,features.5,292,0.3363051680728726,0.47811998212329687,adamw,0.0001390546848963277,0.0017367237151593164,warmup_cosine,,,,,,5.0,3.1883397351001856e-07,,
convnext_base,11,0.534455418586731,,32,moderate,False,features.6,183,0.22130846609714705,0.926789840692838,sgd,0.00298727419956384,5.439591236568524e-05,one_cycle,,,,,0.9383611062362534,,,0.1,25.0
convnext_base,12,0.7215181589126587,,32,randaugment,False,features.5,486,0.29198571588815814,0.024579818846854087,adamw,5.4221871396973596e-05,0.07832921114568382,cosine,,,,,,,1.1401357990728682e-07,,
convnext_base,13,0.7164356708526611,,64,aggressive,False,features.5,309,0.18631094306816964,0.05916752571878046,adamw,0.00011548292569797719,0.005959206131645764,warmup_cosine,,,,,,3.0,1.8939596809590337e-07,,
convnext_base,15,0.8230363130569458,,32,aggressive,False,none,379,0.3003093642688783,0.024579818846854087,adamw,0.00017538688955118773,0.0030524386888490193,cosine,,,,,,,8.61138227435634e-06,,
convnext_base,16,0.8011881113052368,,64,aggressive,False,features.5,250,0.16140018754368285,0.13744823479749593,adamw,0.0008119148209495673,0.013546570882150416,one_cycle,,,,,,,,0.3,50.0
convnext_base,17,0.6985478401184082,,128,randaugment,False,none,425,0.29919223077469415,0.13939247818091421,adamw,0.00015509498193285592,0.012221220737054192,warmup_cosine,,,,,,10.0,4.2118206722764704e-07,,
convnext_base,18,0.8479207754135132,,32,aggressive,False,none,237,0.14367428370564683,0.029395941171574413,adamw,0.0008395434836173338,0.002205121858762209,reduce_on_plateau,,,0.2,5.0,,,,,
convnext_base,19,0.8572277426719666,,64,randaugment,False,features.5,365,0.24590785848709418,0.9502587594253354,adamw,5.1103452735303154e-05,0.006823849970527324,warmup_cosine,,,,,,5.0,5.30483562608023e-07,,
convnext_base,20,0.8596699833869934,,64,minimal,False,none,249,0.05324188279923194,0.145881631489184,adamw,0.00026378784343809056,0.023952389782365274,reduce_on_plateau,,,0.5,2.0,,,,,
convnext_base,21,0.8399339914321899,,32,aggressive,False,features.5,349,0.2474660549551883,0.013065482760075266,adamw,0.0014158260170087458,0.0020754539182299275,cosine,,,,,,,3.52211864080435e-07,,
convnext_base,22,0.6512210965156555,,128,randaugment,False,features.6,417,0.3186407659886432,0.036763725994044996,sgd,0.05450721698389953,0.0004495850801549467,step,10.0,0.2,,,0.8121267714174605,,,,
swin_t,0,0.7701650261878967,,64,minimal,False,features.5,135,0.29097295564859826,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
swin_t,1,0.8609240651130676,,64,aggressive,False,none,297,0.036611470453433645,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
swin_t,2,0.8177557587623596,,128,moderate,False,none,156,0.2960660809801552,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
swin_t,3,0.824554443359375,,32,randaugment,False,features.6,137,0.032367428097991334,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
swin_t,5,0.7710891366004944,,64,minimal,False,features.5,135,0.29097295564859826,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
swin_t,6,0.8478547930717468,,64,aggressive,False,none,297,0.036611470453433645,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
swin_t,7,0.7608580589294434,,128,moderate,False,none,156,0.2960660809801552,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
swin_t,8,0.7195379734039307,,32,randaugment,False,features.6,137,0.032367428097991334,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
